Molecule,C_index,O_index,bond_CO,angle_O_C_X,dihedral_real,nu_CO_DFT,SCF_energy,Gibbs_energy,dipole,A_rot,B_rot,C_rot,charge_C,charge_O,lowdin_C,lowdin_O,mayer_CO,s_C,p_C,sp_ratio,HOMO,LUMO,gap,Epar_lowdin_MV_per_cm,nu_CO_exp,HOMO_1,LUMO_1,pi,pi_star
N-Methyl-2-pyrrolidone,5,6,1.2154654232293076,126.8319094866994,-44.638991443333474,1768.12,-325.898033675925,-325.79040124,3.991532938,3769.907583,2999.158835,1756.454962,0.182772,-0.364364,-0.428488,0.059118,2.0533,3.111559,2.436247,0.7829666736192371,-0.242655,0.023737,0.266392,-2.8092124289464016,1730.196636481242,-0.250607604861605,0.0250527151398604,-0.39179956352512,0.742641676310433
N-Methylbenzamide,2,3,1.2216508335044018,121.83838284109343,10.896477402537451,1726.17,-440.203196316437,-440.08218509,3.603893294,3484.440705,817.663188,675.479187,0.290995,-0.377694,-0.413464,0.0711,1.9814,3.075266,2.364095,0.7687448825565008,-0.252893,-0.042678,0.2102149999999999,-8.759796196963434,1699.42988,-0.259380843462226,-0.020271656991192,-0.39820632458294,0.607361730024626
N-Methylformanilide,2,3,1.2098761337678332,127.53203808294067,0.0,1762.66,-440.187872531207,-440.06603586,3.625654336,2552.507072,1046.744743,756.900942,0.153788,-0.340144,-0.389713,0.067511,1.9833,3.157608,2.466217,0.7810396350655305,-0.230419,-0.026522,0.203897,-99.16116627025976,1698.0,-0.257976607772557,-0.0141827726244364,-0.402349792526903,4.17747010035182
N-Methylsuccinimide,2,3,1.2061203819478383,127.70275139937112,58.05542141928208,1771.26,-399.946703098508,-399.8592916,1.541484781,3108.913005,2245.796399,1336.15421,0.185699,-0.308512,-0.390929,0.109752,2.1004,3.129487,2.420049,0.7733053372645421,-0.269385,-0.026549,0.242836,2.5727803779644822,1739.48388995114,-0.288771649532067,0.00954504848465634,-0.423830789100801,4.81462332211871
N-Methylsuccinimide,6,7,1.20577502574817,127.35209503667495,57.95022885412761,1838.72,-399.946703098508,-399.8592916,1.541484781,3108.913005,2245.796399,1336.15421,0.190174,-0.311696,-0.390446,0.106387,2.0985,3.124873,2.416163,0.7732035829936129,-0.269385,-0.026549,0.242836,4.722896508211324,1751.51194,-0.288771649532067,0.00954504848465634,-0.423830789100801,0.80069655762405
Nicotinamide,1,2,1.2170225357461546,121.81404837259277,-18.28665420193865,1750.66,-416.943807833705,-416.86025206,5.076575778,3915.797457,1232.807485,954.050516,0.264347,-0.33773,-0.438554,0.082814,2.0729,3.060698,2.399502,0.7839721527573122,-0.260698,-0.059989,0.2007089999999999,-4.102978864907575,1602.0,-0.273269367424839,-0.0402909556267558,-0.435251557252089,3.74810442343089
Nonanal,8,9,1.2035912025060669,125.53273439187706,137.51094695624838,1805.23,-428.939083382822,-428.72192954,2.384946394,1783.773221,613.218938,536.745744,0.083075,-0.267685,-0.302761,0.116692,2.1158,3.259597,2.471105,0.7581013849258054,-0.260239,-0.02966,0.230579,-12.012087847281986,1744.8396624472573,-0.304791984312935,0.0250317056369535,-0.493508474989499,4.78229759444466
N_N-Diethylacetamide,5,7,1.223355488721083,120.6379511525728,-6.16282962109431,1711.93,-366.403162677846,-366.25030475,3.863211831,2173.241553,1938.710043,1193.674885,0.266061,-0.388847,-0.452678,0.054679,1.9742,3.087967,2.369115,0.7672086521650004,-0.240571,0.018126,0.258697,-13.778095540383289,1682.6010186757217,-0.246911897685347,0.0322536084362807,-0.410700293491506,4.82590759063284
N_N-Dimethylbenzamide,3,4,1.2232431454016,119.78191681411056,30.321916367832603,1700.57,-479.49500144332,-479.34760478,3.638510601,2450.699179,720.754945,618.419664,0.24403,-0.370681,-0.392931,0.072184,1.9872,3.097658,2.383365,0.7694086952142554,-0.24204,-0.033801,0.208239,3.584082306587637,1677.5483224837255,-0.24957803432818,-0.0178784177597329,-0.359352040982663,5.0590913175593
N_N-Dimethylpropionamide,3,4,1.2215562617370517,120.90382375398248,122.98698063021376,1718.58,-327.094579716476,-326.96959739,3.691870068,4709.333565,1817.968712,1356.079171,0.255411,-0.385833,-0.427242,0.061426,1.9691,3.088357,2.379551,0.7704909115105542,-0.241676,0.021137,0.262813,6.912941644856836,1684.660561321586,-0.249839536401171,0.0270125539659175,-0.371427688954584,0.791620284562433
